rank_display,rank,name,country,city,region,overall_score,url,logo,employer_reputation_score,employer_reputation_rank,h_index_citations_score,h_index_citations_rank,citations_per_paper_score,citations_per_paper_rank,academic_reputation_score,academic_reputation_rank,international_research_network_score,international_research_network_rank
401-450,432,Universidad Anáhuac México,Mexico,Huixquilucan,Latin America,n/a,https://www.topuniversities.com/universities/universidad-anahuac-mexico,https://www.topuniversities.com/sites/default/files/universidad-anahuac_592560cf2aeae70239af4a97_medium.jpg,65.6,=176,42.5,401+,47.1,401+,66.2,=308,27.8,401+
401-450,433,Universidad San Francisco de Quito USFQ,Ecuador,Quito,Latin America,n/a,https://www.topuniversities.com/universities/universidad-san-francisco-de-quito-usfq,https://www.topuniversities.com/sites/default/files/250514080051pm522863logo-usfq1500x1500px-90x90.jpg,65.8,=170,50.5,401+,56,401+,64.2,=382,31.8,401+
401-450,434,Universidad de Concepción,Chile,Concepción,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-concepcion,https://www.topuniversities.com/sites/default/files/universidad-de-concepcin_1700_medium.jpg,65.2,=186,64,401+,78.1,401+,59.4,401+,37.9,401+
401-450,435,Universidad de Lima,Peru,Lima,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-lima,https://www.topuniversities.com/sites/default/files/230207011108pm679897LOGO-ULIMA-90x90.jpg,66.5,=156,48.4,401+,53,401+,63.8,=397,30.8,401+
401-450,436,Universidad de San Andrés - UdeSA,Argentina,Buenos Aires,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-san-andres-udesa,https://www.topuniversities.com/sites/default/files/universidad-de-san-andrs-udesa_1699_medium.jpg,66.3,=158,39.7,401+,44.2,401+,68.4,=240,22.8,401+
401-450,437,Universidade Católica Portuguesa,Portugal,Lisbon,Europe,n/a,https://www.topuniversities.com/universities/universidade-catolica-portuguesa,https://www.topuniversities.com/sites/default/files/260414111537am918917020926-CATOLICA-LogoMarca-CMYK-Logo-Catolica-Dark-Blue-90x90.jpg,50.1,401+,67.3,401+,81.1,401+,65.8,=323,44.2,401+
401-450,438,Universidade de Brasília,Brazil,Brasília,Latin America,n/a,https://www.topuniversities.com/universities/universidade-de-brasilia,https://www.topuniversities.com/sites/default/files/universidade-de-braslia_1726_medium.jpg,51.2,401+,66.7,401+,68.5,401+,66.5,=302,42.3,401+
401-450,439,University of Aberdeen,United Kingdom,Aberdeen,Europe,n/a,https://www.topuniversities.com/universities/university-aberdeen,https://www.topuniversities.com/sites/default/files/250617044352pm441031UoA-Stacked-Logo-RGB-90x90.jpg,55.9,401+,72.4,401+,83.3,401+,60.3,401+,60.7,=244
401-450,440,University of Bergen,Norway,Bergen,Europe,n/a,https://www.topuniversities.com/universities/university-bergen,https://www.topuniversities.com/sites/default/files/university-of-bergen_53_medium.jpg,45.3,401+,77.5,=311,85.2,=289,65.1,=352,67.5,=107
401-450,441,University of Limerick,Ireland,Limerick,Europe,n/a,https://www.topuniversities.com/universities/university-limerick,https://www.topuniversities.com/sites/default/files/university-of-limerick_592560cf2aeae70239af4be0_medium.jpg,56.9,401+,69.7,401+,82.9,401+,60.6,401+,58.8,=292
401-450,442,University of Macau,Macau SAR,,Asia,n/a,https://www.topuniversities.com/universities/university-macau,https://www.topuniversities.com/sites/default/files/university-of-macau_14378_medium.jpg,50.4,401+,77.1,=323,85.3,=279,62.9,401+,46.2,401+
401-450,443,University of Milano-Bicocca,Italy,Milan,Europe,n/a,https://www.topuniversities.com/universities/university-milano-bicocca,https://www.topuniversities.com/sites/default/files/university-of-milano-bicocca_14336_medium.jpg,50.8,401+,74.1,401+,82.8,401+,62.3,401+,55,=397
401-450,444,University of Münster,Germany,Munster,Europe,n/a,https://www.topuniversities.com/universities/university-munster,https://www.topuniversities.com/sites/default/files/231027093236am438692Logo-UniMuenster-200PixelBreite-RGB-90x90.jpg,46.3,401+,75.6,=376,83.2,401+,65.2,=347,51.1,401+
401-450,445,University of Rochester,United States,Rochester,North America,n/a,https://www.topuniversities.com/universities/university-rochester,https://www.topuniversities.com/sites/default/files/university-of-rochester_592560cf2aeae70239af4c96_medium.jpg,57.5,=383,73.3,401+,86.6,=185,60.4,401+,44.4,401+
401-450,446,University of Texas at Dallas,United States,Richardson,North America,n/a,https://www.topuniversities.com/universities/university-texas-dallas,https://www.topuniversities.com/sites/default/files/university-of-texas-dallas_592560cf2aeae70239af5355_medium.jpg,54.2,401+,71.6,401+,83.3,401+,62.3,401+,39.2,401+
401-450,447,University of Tsukuba,Japan,Tsukuba City,Asia,n/a,https://www.topuniversities.com/universities/university-tsukuba,https://www.topuniversities.com/sites/default/files/university-of-tsukuba_592560cf2aeae70239af4cf7_medium.jpg,58,=363,65.7,401+,76.8,401+,62.3,401+,46.7,401+
401-450,448,University of Witwatersrand,South Africa,Johannesburg,Africa,n/a,https://www.topuniversities.com/universities/university-witwatersrand,https://www.topuniversities.com/sites/default/files/university-of-the-witwatersrand_679_medium.jpg,50.9,401+,72.4,401+,74.4,401+,63.2,401+,68.5,=93
401-450,449,University of the Punjab,Pakistan,Lahore,Asia,n/a,https://www.topuniversities.com/universities/university-punjab,https://www.topuniversities.com/sites/default/files/university-of-the-punjab_592560cf2aeae70239af4f07_medium.jpg,56.9,401+,74.5,401+,86.3,=202,59.4,401+,51.2,401+
401-450,450,Washington State University,United States,Pullman,North America,n/a,https://www.topuniversities.com/universities/washington-state-university,https://www.topuniversities.com/sites/default/files/washington-state-university_666_medium.jpg,55.4,401+,79.2,=251,85,=306,57.8,401+,61.4,=221
401-450,451,Xi’an Jiaotong University,China (Mainland),Xi'an,Asia,n/a,https://www.topuniversities.com/universities/xian-jiaotong-university,https://www.topuniversities.com/sites/default/files/xian-jiaotong-university_683_medium.jpg,56.6,401+,86.8,=63,87.4,=139,56.1,401+,59.9,268
451-500,452,Ankara Üniversitesi,Türkiye,Ankara,Asia,n/a,https://www.topuniversities.com/universities/ankara-universitesi,https://www.topuniversities.com/sites/default/files/ankara-niversitesi_592560cf2aeae70239af50a5_medium.jpg,58.1,=358,55.8,401+,70,401+,62.5,401+,48.1,401+
451-500,453,Aristotle University of Thessaloniki,Greece,Thessaloniki,Europe,n/a,https://www.topuniversities.com/universities/aristotle-university-thessaloniki,https://www.topuniversities.com/sites/default/files/aristotle-university-of-thessaloniki_24_medium.jpg,54.2,401+,75.6,=376,79.5,401+,59.1,401+,62.4,=199
451-500,454,Asia Pacific University of Technology and Innovation (APU) Malaysia,Malaysia,Kuala Lumpur,Asia,n/a,https://www.topuniversities.com/universities/asia-pacific-university-technology-innovation-apu-malaysia,https://www.topuniversities.com/sites/default/files/asia-pacific-university-of-technology-and-innovation-apu_592560e79988f300e2322131_medium.jpg,60.1,301,48.4,401+,57.9,401+,67.2,=281,18.4,401+
451-500,455,"Asian Institute of Technology, Thailand",Thailand,Pathumthani,Asia,n/a,https://www.topuniversities.com/universities/asian-institute-technology-thailand,https://www.topuniversities.com/sites/default/files/asian-institute-of-technology-thailand_14653_medium.jpg,52.5,401+,66.2,401+,74.3,401+,63.6,401+,36.4,401+
451-500,456,Chiang Mai University,Thailand,Chiang Mai,Asia,n/a,https://www.topuniversities.com/universities/chiang-mai-university,https://www.topuniversities.com/sites/default/files/chiang-mai-university_118_medium.jpg,52.3,401+,65.7,401+,76.9,401+,63.9,=392,49.8,401+
451-500,457,Comillas Pontifical University,Spain,Madrid,Europe,n/a,https://www.topuniversities.com/universities/comillas-pontifical-university,https://www.topuniversities.com/sites/default/files/241009094956am596302COMILLAS-300x300-90x90.jpg,62.4,=243,57.3,401+,68.6,401+,61.4,401+,25.9,401+
451-500,458,Diponegoro University,Indonesia,Semarang,Asia,n/a,https://www.topuniversities.com/universities/diponegoro-university,https://www.topuniversities.com/sites/default/files/diponegoro-university_592560cf2aeae70239af4b23_medium.jpg,54.9,401+,57.3,401+,67.9,401+,65.4,=336,24.8,401+
451-500,459,Edith Cowan University,Australia,Joondalup,Oceania,n/a,https://www.topuniversities.com/universities/edith-cowan-university,https://www.topuniversities.com/sites/default/files/251111045132am451526ECU-90x90.jpg,48.9,401+,77.8,=300,90,=53,59.1,401+,61.4,=221
451-500,460,Escuela Superior Politécnica del Litoral (ESPOL),Ecuador,Guayaquil,Latin America,n/a,https://www.topuniversities.com/universities/escuela-superior-politecnica-del-litoral-espol,https://www.topuniversities.com/sites/default/files/escuela-superior-politcnica-del-litoral-espol_592560cf2aeae70239af547f_medium.jpg,65.3,=182,55.8,401+,64.8,401+,61.1,401+,33.1,401+
451-500,461,Georgia State University,United States,Atlanta,North America,n/a,https://www.topuniversities.com/universities/georgia-state-university,https://www.topuniversities.com/sites/default/files/georgia-state-university_592560cf2aeae70239af4b65_medium.jpg,53.4,401+,76.7,=332,87.7,=125,59.3,401+,46.7,401+
451-500,462,Grenoble Ecole de Management,France,Grenoble,Europe,n/a,https://www.topuniversities.com/universities/grenoble-ecole-de-management,https://www.topuniversities.com/sites/default/files/260107013435pm506094GEM-Alpine-Business-School-90x90.jpg,50.3,401+,61.5,401+,71.8,401+,67.6,=267,32.5,401+
451-500,463,Harbin Institute of Technology,China (Mainland),Harbin,Asia,n/a,https://www.topuniversities.com/universities/harbin-institute-technology,https://www.topuniversities.com/sites/default/files/harbin-institute-of-technology_877_medium.jpg,63.3,=217,88.3,=40,89,=77,51.1,401+,48,401+
451-500,464,IMD,Switzerland,Lausanne,Europe,n/a,https://www.topuniversities.com/universities/imd,https://www.topuniversities.com/sites/default/files/240821014727pm413862IMD-Logo-White-on-Blue-square-safe-space-RGB-90x90.jpg,61.3,=268,47.3,401+,51.4,401+,66.2,=308,18.2,401+
451-500,465,Indian Institute of Technology Guwahati (IITG),India,Guwahati,Asia,n/a,https://www.topuniversities.com/universities/indian-institute-technology-guwahati-iitg,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-guwahati-iitg_283_medium.jpg,80.3,=30,72,401+,80.6,401+,46.9,401+,36.9,401+
451-500,466,Institute of Business Administration (IBA),Pakistan,Karachi,Asia,n/a,https://www.topuniversities.com/universities/institute-business-administration-iba,https://www.topuniversities.com/sites/default/files/InsituteofBusinessAdministrationIBA-logo-90x90.jpg,57.8,=371,59.5,401+,66.5,401+,62.2,401+,33.2,401+
451-500,467,International Islamic University Malaysia (IIUM),Malaysia,Kuala Lumpur,Asia,n/a,https://www.topuniversities.com/universities/international-islamic-university-malaysia-iium,https://www.topuniversities.com/sites/default/files/international-islamic-university-malaysia-iium_717_medium.jpg,51.2,401+,59.5,401+,73.1,401+,66,=316,38.5,401+
451-500,468,KEDGE Business School,France,Talence,Europe,n/a,https://www.topuniversities.com/universities/kedge-business-school,https://www.topuniversities.com/sites/default/files/kedge-business-school_592560e19988f300e2320ed3_medium.jpg,46.2,401+,68.3,401+,81.6,401+,65.8,=323,48.8,401+
451-500,469,KTH Royal Institute of Technology,Sweden,Stockholm,Europe,n/a,https://www.topuniversities.com/universities/kth-royal-institute-technology,https://www.topuniversities.com/sites/default/files/260305113719am179277kth-royal-institute-of-technology--592560cf2aeae70239af4c9b-large-90x90.jpg,59.2,=326,80.1,=229,86.3,=202,54.4,401+,65.4,=148
451-500,470,"Kingston University, London",United Kingdom,Kingston upon Thames,Europe,n/a,https://www.topuniversities.com/universities/kingston-university-london,https://www.topuniversities.com/sites/default/files/kingston-university-london_592560cf2aeae70239af4bc2_medium.jpg,63.4,216,65.7,401+,78.4,401+,57,401+,43.4,401+
451-500,471,Manchester Metropolitan University.,United Kingdom,Manchester,Europe,n/a,https://www.topuniversities.com/universities/manchester-metropolitan-university,https://www.topuniversities.com/sites/default/files/251203115155am858066Manchester-Met-RGB-Black-Centred-200x200-90x90.jpg,47.6,401+,75.6,=376,83.9,=393,61,401+,75,31
451-500,472,North Carolina State University,United States,Raleigh,North America,n/a,https://www.topuniversities.com/universities/north-carolina-state-university,https://www.topuniversities.com/sites/default/files/north-carolina-state-university_592560cf2aeae70239af4c2a_medium.jpg,54.8,401+,79.8,=239,82.7,401+,57,401+,57.7,=323
451-500,473,North South University,Bangladesh,Dhaka,Asia,n/a,https://www.topuniversities.com/universities/north-south-university,https://www.topuniversities.com/sites/default/files/north-south-university_592560cf2aeae70239af4de2_medium.jpg,56.8,401+,71.1,401+,81.3,401+,59.9,401+,45,401+
451-500,474,Nottingham Trent University,United Kingdom,Nottingham,Europe,n/a,https://www.topuniversities.com/universities/nottingham-trent-university,https://www.topuniversities.com/sites/default/files/nottingham-trent-university_592560cf2aeae70239af50e6_medium.jpg,49.5,401+,76,=360,87.1,=153,59.1,401+,66.6,129
451-500,475,Pontificia Universidad Católica Argentina,Argentina,Buenos Aires,Latin America,n/a,https://www.topuniversities.com/universities/pontificia-universidad-catolica-argentina,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-argentina_592560cf2aeae70239af5486_medium.jpg,68.7,119,31.1,401+,37.8,401+,65.3,=341,23.5,401+
451-500,476,Quaid-i-Azam University,Pakistan,Islamabad,Asia,n/a,https://www.topuniversities.com/universities/quaid-i-azam-university,https://www.topuniversities.com/sites/default/files/quaid-i-azam-university_592560cf2aeae70239af4d41_medium.jpg,53.7,401+,76.4,=345,85.9,=234,59.2,401+,42.7,401+
451-500,477,Radboud University,Netherlands,Nijmegen,Europe,n/a,https://www.topuniversities.com/universities/radboud-university,https://www.topuniversities.com/sites/default/files/240410065850am767670Logo-Radboud-University-90x90.jpg,47.9,401+,76,=360,82.5,401+,61.2,401+,62.7,=192
451-500,478,Ritsumeikan University,Japan,Kyoto,Asia,n/a,https://www.topuniversities.com/universities/ritsumeikan-university,https://www.topuniversities.com/sites/default/files/ritsumeikan-university_592560cf2aeae70239af4c92_medium.jpg,54.1,401+,56.6,401+,65.9,401+,65.4,=336,32.7,401+
451-500,479,SGH Warsaw School of Economics,Poland,Warsaw,Europe,n/a,https://www.topuniversities.com/universities/sgh-warsaw-school-economics,https://www.topuniversities.com/sites/default/files/220425010507pm495709SGHlogoRGB-02-90x90.jpg,47.4,401+,53.2,401+,67.8,401+,70.3,=192,31,401+
451-500,480,SKEMA Business School,France,Lille,Europe,n/a,https://www.topuniversities.com/universities/skema-business-school,https://www.topuniversities.com/sites/default/files/skema-business-school_592560cf2aeae70239af4af5_medium.jpg,51.8,401+,62.8,401+,72.6,401+,65.6,=333,31.8,401+
451-500,481,Syracuse University,United States,Syracuse,North America,n/a,https://www.topuniversities.com/universities/syracuse-university,https://www.topuniversities.com/sites/default/files/syracuse-university_812_medium.jpg,49.9,401+,73.7,401+,82.3,401+,64,=387,41.2,401+
451-500,482,TBS Education - Business School,France,Toulouse,Europe,n/a,https://www.topuniversities.com/universities/tbs-education-business-school,https://www.topuniversities.com/sites/default/files/251029010810pm425360LOGO-TBS-EDUCATION-ROND-ROUGE-CMJN-90x90.jpg,43.6,401+,71.6,401+,80.4,401+,67.7,=264,33.4,401+
451-500,483,Tashkent State University of Economics,Uzbekistan,Tashkent,Asia,n/a,https://www.topuniversities.com/universities/tashkent-state-university-economics,https://www.topuniversities.com/sites/default/files/220202093023am5173262-90x90.jpg,61.2,=270,47.3,401+,55.5,401+,65.8,=323,33.9,401+
451-500,484,Temple University,United States,Philadelphia,North America,n/a,https://www.topuniversities.com/universities/temple-university,https://www.topuniversities.com/sites/default/files/260227034612pm664097BIG-T-90x90.jpg,44.3,401+,78.2,=291,84.2,=373,63.5,401+,51.8,401+
451-500,485,Universidad Iberoamericana Ciudad de México - IBERO,Mexico,Mexico City,Latin America,n/a,https://www.topuniversities.com/universities/universidad-iberoamericana-ciudad-de-mexico-ibero,https://www.topuniversities.com/sites/default/files/240131094720pm844056LOGO-200x200-90x90.jpg,67,=146,38.2,401+,45.3,401+,65.5,335,12.4,401+
451-500,486,Universidad Politécnica de Madrid (UPM),Spain,Madrid,Europe,n/a,https://www.topuniversities.com/universities/universidad-politecnica-de-madrid,https://www.topuniversities.com/sites/default/files/politcnica-de-madrid_1507_medium.jpg,64.5,=200,72.9,401+,79.5,401+,52.8,401+,61.6,=214
451-500,487,Universidad de los Andes - Chile,Chile,Santiago,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-los-andes-chile,https://www.topuniversities.com/sites/default/files/universidad-de-los-andes-chile_2638_medium.jpg,64.7,197,45,401+,50.9,401+,65.6,=333,20,401+
451-500,488,Universitas Brawijaya ,Indonesia,Malang,Asia,n/a,https://www.topuniversities.com/universities/universitas-brawijaya,https://www.topuniversities.com/sites/default/files/university-of-brawijaya_761_medium.jpg,55.9,401+,55.8,401+,68.4,401+,66,=316,29.8,401+
451-500,489,Universitas Padjadjaran (UNPAD),Indonesia,Bandung,Asia,n/a,https://www.topuniversities.com/universities/universitas-padjadjaran-unpad,https://www.topuniversities.com/sites/default/files/universitas-padjadjaran_592560cf2aeae70239af4e3c_medium.jpg,54.1,401+,54.1,401+,64.5,401+,67.5,=272,24.5,401+
451-500,490,University of Bucharest,Romania,Bucharest,Europe,n/a,https://www.topuniversities.com/universities/university-bucharest,https://www.topuniversities.com/sites/default/files/university-of-bucharest_77_medium.jpg,55.8,401+,62.8,401+,71.3,401+,60.4,401+,53.7,401+
451-500,491,"University of California, Santa Barbara (UCSB)",United States,Santa Barbara,North America,n/a,https://www.topuniversities.com/universities/university-california-santa-barbara-ucsb,https://www.topuniversities.com/sites/default/files/university-of-california-santa-barbara-ucsb_91_medium.jpg,52.4,401+,82.3,=163,86.9,=167,59.8,401+,49.3,401+
451-500,492,University of Coimbra,Portugal,Coimbra,Europe,n/a,https://www.topuniversities.com/universities/university-coimbra,https://www.topuniversities.com/sites/default/files/university-of-coimbra_592560cf2aeae70239af4b07_medium.jpg,52.2,401+,76,=360,77.7,401+,60.4,401+,66.7,=124
451-500,493,University of Göttingen,Germany,Göttingen,Europe,n/a,https://www.topuniversities.com/universities/university-gottingen,https://www.topuniversities.com/sites/default/files/university-of-gttingen_234_medium.jpg,44.7,401+,76.7,=332,81.7,401+,61.2,401+,78.5,17
451-500,494,University of Leicester,United Kingdom,Leicester,Europe,n/a,https://www.topuniversities.com/universities/university-leicester,https://www.topuniversities.com/sites/default/files/university-of-leicester_339_medium.jpg,51.3,401+,73.7,401+,82.6,401+,60.4,401+,62.5,198
451-500,495,University of South Carolina,United States,Columbia,North America,n/a,https://www.topuniversities.com/universities/university-south-carolina,https://www.topuniversities.com/sites/default/files/university-of-south-carolina_539_medium.jpg,44.9,401+,80.8,=203,87.2,=150,61.9,401+,58.3,=307
451-500,496,University of Tartu,Estonia,Tartu,Europe,n/a,https://www.topuniversities.com/universities/university-tartu,https://www.topuniversities.com/sites/default/files/university-of-tartu_592560cf2aeae70239af4d08_medium.jpg,49.5,401+,69.7,401+,79.1,401+,62.7,401+,65.4,=148
451-500,497,University of Victoria (UVic),Canada,Victoria,North America,n/a,https://www.topuniversities.com/universities/university-victoria-uvic,https://www.topuniversities.com/sites/default/files/university-of-victoria-uvic_592560cf2aeae70239af4d0e_medium.jpg,56.6,401+,73.3,401+,81.5,401+,59.2,401+,42.9,401+
451-500,498,Université Grenoble Alpes,France,Grenoble,Europe,n/a,https://www.topuniversities.com/universities/universite-grenoble-alpes,https://www.topuniversities.com/sites/default/files/universit-grenoble-alpes_592560cf2aeae70239af5ab2_medium.jpg,53.3,401+,71.1,401+,78.9,401+,59.5,401+,63.6,=170
451-500,499,Van Lang University,Vietnam,Ho Chi Minh City,Asia,n/a,https://www.topuniversities.com/universities/van-lang-university,https://www.topuniversities.com/sites/default/files/230418061805am147438QS-Logo-90x90.jpg,54.4,401+,60.2,401+,66.2,401+,64.6,=367,41.3,401+
451-500,500,Vilnius University,Lithuania,Vilnius,Europe,n/a,https://www.topuniversities.com/universities/vilnius-university,https://www.topuniversities.com/sites/default/files/vilnius-university-_592560cf2aeae70239af4d7f_medium.jpg,53.1,401+,59.5,401+,69.7,401+,62.8,401+,63.6,=170
451-500,501,Virginia Polytechnic Institute and State University,United States,Blacksburg,North America,n/a,https://www.topuniversities.com/universities/virginia-polytechnic-institute-state-university,https://www.topuniversities.com/sites/default/files/virginia-polytechnic-institute-and-state-university_592560cf2aeae70239af4d15_medium.jpg,56.2,401+,80.5,=213,82.7,401+,57.1,401+,56.6,=352
501-550,502,"Ain Shams University in Cairo (ASU, Cairo)",Egypt,Cairo,Africa,n/a,https://www.topuniversities.com/universities/ain-shams-university-cairo-asu-cairo,https://www.topuniversities.com/sites/default/files/ain-shams-university-_592560cf2aeae70239af4f38_medium.jpg,57.3,=390,64,401+,73.7,401+,58.9,401+,39.5,401+
501-550,503,Ajman University,United Arab Emirates,Ajman,Asia,n/a,https://www.topuniversities.com/universities/ajman-university,https://www.topuniversities.com/sites/default/files/ajman-university-of-science-technology_592560cf2aeae70239af4f31_medium.jpg,55.1,401+,55.8,401+,68.9,401+,62,401+,44.2,401+
501-550,504,Alexandria University ,Egypt,Alexandria,Africa,n/a,https://www.topuniversities.com/universities/alexandria-university,https://www.topuniversities.com/sites/default/files/alexandria-university_1209_medium.jpg,52.6,401+,67.8,401+,81,401+,58.7,401+,53.9,401+
501-550,505,Barcelona School of Economics,Spain,Barcelona,Europe,n/a,https://www.topuniversities.com/universities/barcelona-school-economics,https://www.topuniversities.com/sites/default/files/220420111104am868463barcelona-school-economics-90x90.jpg,51,401+,56.6,401+,69.9,401+,64.3,=380,28.8,401+
501-550,506,Concordia University,Canada,Montreal,North America,n/a,https://www.topuniversities.com/universities/concordia-university,https://www.topuniversities.com/sites/default/files/concordia-university_592560cf2aeae70239af4b0e_medium.jpg,50.8,401+,75.3,=387,80.6,401+,57.7,401+,56.2,368
501-550,507,Dalhousie University,Canada,Nova Scotia,North America,n/a,https://www.topuniversities.com/universities/dalhousie-university,https://www.topuniversities.com/sites/default/files/250221040601pm770441logo-200x200-90x90.jpg,57,=399,76.4,=345,82,401+,55.4,401+,53.4,401+
501-550,508,Duy Tan University,Vietnam,Da Nang,Asia,n/a,https://www.topuniversities.com/universities/duy-tan-university,https://www.topuniversities.com/sites/default/files/duy-tan-university_59e5a998acb295021d569f1b_medium.jpg,50.6,401+,83.7,=130,93.8,=11,53.7,401+,66.7,=124
501-550,509,EHL Hospitality Business School,Switzerland,Lausanne,Europe,n/a,https://www.topuniversities.com/universities/ehl-hospitality-business-school,https://www.topuniversities.com/sites/default/files/ehl-ecole-htelire-de-lausanne_592560cf2aeae70239af4b31_medium.jpg,70.8,=90,48.4,401+,53.8,401+,59.4,401+,18.8,401+
501-550,510,Eberhard Karls Universität Tübingen,Germany,Tübingen,Europe,n/a,https://www.topuniversities.com/universities/eberhard-karls-universitat-tubingen,https://www.topuniversities.com/sites/default/files/eberhard-karls-universitt-tbingen_629_medium.jpg,44.7,401+,72.9,401+,81.7,401+,62.7,401+,56.6,=352
501-550,511,Eötvös Loránd University,Hungary,Budapest,Europe,n/a,https://www.topuniversities.com/universities/eotvos-lorand-university,https://www.topuniversities.com/sites/default/files/etvs-lornd-university_366_medium.jpg,53.3,401+,62.1,401+,73.2,401+,60.9,401+,51.8,401+
501-550,512,Financial University under the Government of the Russian Federation,Russia,Moscow,Europe,n/a,https://www.topuniversities.com/universities/financial-university-under-government-russian-federation,https://www.topuniversities.com/sites/default/files/financial-university-under-the-government-of-the-russian-federation_592560cf2aeae70239af5850_medium.jpg,54.5,401+,63.4,401+,69,401+,59.8,401+,53.9,401+
501-550,513,Huazhong University of Science and Technology,China (Mainland),Wuhan,Asia,n/a,https://www.topuniversities.com/universities/huazhong-university-science-technology,https://www.topuniversities.com/sites/default/files/huazhong-university-of-science-and-technology_592560cf2aeae70239af5256_medium.jpg,56.3,401+,90.1,24,89.4,=67,52.9,401+,54.6,401+
501-550,514,Indian Institute of Technology Roorkee (IITR),India,Roorkee,Asia,n/a,https://www.topuniversities.com/universities/indian-institute-technology-roorkee-iitr,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-roorkee-iitr_287_medium.jpg,67.5,=138,74.5,401+,85.9,=234,49.6,401+,48.3,401+
501-550,515,Instituto Politécnico Nacional (IPN),Mexico,Ciudad de México,Latin America,n/a,https://www.topuniversities.com/universities/instituto-politecnico-nacional-ipn,https://www.topuniversities.com/sites/default/files/instituto-politcnico-nacional-ipn_592560cf2aeae70239af5483_medium.jpg,65.6,=176,61.5,401+,73.4,401+,55.8,401+,32.5,401+
501-550,516,Iscte - University Institute of Lisbon,Portugal,Lisbon,Europe,n/a,https://www.topuniversities.com/universities/iscte-university-institute-lisbon,https://www.topuniversities.com/sites/default/files/260225112350am145109rgb-iscte-pt-vertical-positive-90x90.jpg,48,401+,73.7,401+,81.4,401+,60.3,401+,63.1,=184
501-550,517,"KIT, Karlsruhe Institute of Technology",Germany,Karlsruhe,Europe,n/a,https://www.topuniversities.com/universities/kit-karlsruhe-institute-technology,https://www.topuniversities.com/sites/default/files/kit-karlsruhe-institute-of-technology_310_medium.jpg,58.7,=338,78.8,=267,85.2,=289,53.4,401+,57.6,=328
501-550,518,MGIMO University,Russia,Moscow,Europe,n/a,https://www.topuniversities.com/universities/mgimo-university,https://www.topuniversities.com/sites/default/files/moscow-state-institute-of-international-relations-mgimo-university_2156_medium.jpg,63.8,=210,48.4,401+,58.1,401+,61.8,401+,28,401+
501-550,519,Masaryk University,Czechia,Brno,Europe,n/a,https://www.topuniversities.com/universities/masaryk-university,https://www.topuniversities.com/sites/default/files/masaryk-university_592560cf2aeae70239af4d5a_medium.jpg,47.8,401+,68.8,401+,75.8,401+,61.8,401+,55.3,=390
501-550,520,National Central University,Taiwan,Taoyuan,Asia,n/a,https://www.topuniversities.com/universities/national-central-university,https://www.topuniversities.com/sites/default/files/national-central-university_434_medium.jpg,53.8,401+,67.8,401+,79.1,401+,59.9,401+,23.4,401+
501-550,521,RWTH Aachen University,Germany,Aachen,Europe,n/a,https://www.topuniversities.com/universities/rwth-aachen-university,https://www.topuniversities.com/sites/default/files/rwth-aachen-university_4_medium.jpg,59.4,=321,79.2,=251,83,401+,53.3,401+,52.6,401+
501-550,522,"Royal Holloway, University of London",United Kingdom,London,Europe,n/a,https://www.topuniversities.com/universities/royal-holloway-university-london,https://www.topuniversities.com/sites/default/files/250117013204pm929619Royal-Holloway%2C-University-of-London-RGB-200x200-pixel-logo-90x90.jpg,49.6,401+,70.7,401+,82.5,401+,60.7,401+,54.6,401+
501-550,523,Shandong University,China (Mainland),Jinan,Asia,n/a,https://www.topuniversities.com/universities/shandong-university,https://www.topuniversities.com/sites/default/files/shandong-university_555_medium.jpg,53.8,401+,87.3,=58,88,=113,54.7,401+,48.4,401+
501-550,524,Swinburne University of Technology,Australia,Melbourne,Oceania,n/a,https://www.topuniversities.com/universities/swinburne-university-technology,https://www.topuniversities.com/sites/default/files/swinburne-university-of-technology_759_medium.jpg,50.5,401+,82,=168,91.8,28,57.3,401+,53.6,401+
501-550,525,Taras Shevchenko National University of Kyiv,Ukraine,Kyiv,Europe,n/a,https://www.topuniversities.com/universities/taras-shevchenko-national-university-kyiv,https://www.topuniversities.com/sites/default/files/taras-shevchenko-national-university-of-kyiv_14977_medium.jpg,61.1,=273,48.4,401+,61.8,401+,62.3,401+,29,401+
501-550,526,Tel Aviv University,Israel,Tel Aviv,Asia,n/a,https://www.topuniversities.com/universities/tel-aviv-university,https://www.topuniversities.com/sites/default/files/tel-aviv-university_592560cf2aeae70239af4cde_medium.jpg,43.8,401+,72.4,401+,77.1,401+,64.6,=367,48.4,401+
501-550,527,The Education University of Hong Kong,Hong Kong SAR,Hong Kong,Asia,n/a,https://www.topuniversities.com/universities/education-university-hong-kong,https://www.topuniversities.com/sites/default/files/the-education-university-of-hong-kong_592560cf2aeae70239af5734_medium.jpg,41.9,401+,80.8,=203,88.4,=94,61.7,401+,42.8,401+
