rank_display,rank,name,country,city,region,overall_score,url,logo,employer_reputation_score,employer_reputation_rank,h_index_citations_score,h_index_citations_rank,citations_per_paper_score,citations_per_paper_rank,academic_reputation_score,academic_reputation_rank,international_research_network_score,international_research_network_rank
=217,217,Bogaziçi Üniversitesi,Türkiye,Istanbul,Asia,67.2,https://www.topuniversities.com/universities/bogazici-universitesi,https://www.topuniversities.com/sites/default/files/bogazii-niversitesi_1575_medium.jpg,68.6,=120,62.1,401+,74,401+,68.3,=243,44.5,401+
=217,218,Universität Heidelberg,Germany,Heidelberg,Europe,67.2,https://www.topuniversities.com/universities/universitat-heidelberg,https://www.topuniversities.com/sites/default/files/221104124726pm969012uniHD-siegel-200x200k-90x90.jpg,59.9,=303,70.7,401+,80,401+,70,=202,58.3,=307
=219,219,California Institute of Technology (Caltech),United States,Pasadena,North America,67.1,https://www.topuniversities.com/universities/california-institute-technology-caltech,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_medium.jpg,76,55,67.8,401+,80.2,401+,62.4,401+,39.6,401+
=219,220,University of Helsinki,Finland,Helsinki,Europe,67.1,https://www.topuniversities.com/universities/university-helsinki,https://www.topuniversities.com/sites/default/files/university-of-helsinki_260_medium.jpg,54,401+,80.5,=213,80.3,401+,70.8,=182,69.2,=82
=219,221,University of Strathclyde,United Kingdom,Glasgow,Europe,67.1,https://www.topuniversities.com/universities/university-strathclyde,https://www.topuniversities.com/sites/default/files/251006032129pm964983strath-crest-200x200px-90x90.jpg,61,=277,76.4,=345,83.8,401+,67.4,=275,62.6,=195
=222,222,EDHEC Business School,France,Lille,Europe,67,https://www.topuniversities.com/universities/edhec-business-school,https://www.topuniversities.com/sites/default/files/251128040531pm935341logo-carr%C3%A9-EDHEC-90x90.jpg,63.6,=214,65.1,401+,73.5,401+,71.6,=167,33.5,401+
=222,223,University of Cape Town,South Africa,Cape Town,Africa,67,https://www.topuniversities.com/universities/university-cape-town,https://www.topuniversities.com/sites/default/files/210830024732pm396697UCTcircular-logo1-CMYK-90x90.jpg,58.1,=358,73.7,401+,77.7,401+,69.6,218,68,=98
=222,224,University of Reading,United Kingdom,Reading,Europe,67,https://www.topuniversities.com/universities/university-reading,https://www.topuniversities.com/sites/default/files/university-of-reading_517_medium.jpg,58.6,=342,82.6,=154,88.3,=101,66.6,=298,65.5,147
=222,225,University of Surrey,United Kingdom,Guildford,Europe,67,https://www.topuniversities.com/universities/university-surrey,https://www.topuniversities.com/sites/default/files/230822021755pm944389Surrey-Logo-200x200px-90x90.jpg,57.9,=369,83.4,=137,91.9,=26,66.1,=313,67.7,=102
=222,226,University of Waterloo,Canada,Waterloo,North America,67,https://www.topuniversities.com/universities/university-waterloo,https://www.topuniversities.com/sites/default/files/university-of-waterloo_670_medium.jpg,69.9,=104,82.9,=147,84.1,=378,60.6,401+,63.8,167
=222,227,University of York,United Kingdom,York,Europe,67,https://www.topuniversities.com/universities/university-york,https://www.topuniversities.com/sites/default/files/250204120245pm633652UOY-Logo-Stacked-shield-Black-white-background-200x200px-90x90.jpg,59.4,=321,80.5,=213,84.1,=378,66.7,=296,70,=75
=228,228,Delft University of Technology,Netherlands,Delft,Europe,66.9,https://www.topuniversities.com/universities/delft-university-technology,https://www.topuniversities.com/sites/default/files/241219075823am191478thumbnail-logo-voor-QS-90x90.jpg,70.4,96,87.8,=48,87,=158,58.3,401+,70.4,=69
=228,229,European University Institute,Italy,Florence,Europe,66.9,https://www.topuniversities.com/universities/european-university-institute,https://www.topuniversities.com/sites/default/files/european-university-institute_15283_medium.jpg,53.1,401+,66.7,401+,80.6,401+,75.5,=107,44.2,401+
=228,230,Instituto Tecnológico Autónomo de México (ITAM),Mexico,Mexico City,Latin America,66.9,https://www.topuniversities.com/universities/instituto-tecnologico-autonomo-de-mexico-itam,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-autnomo-de-mxico-itam_592560cf2aeae70239af4da6_medium.jpg,71.3,=84,41.2,401+,53.6,401+,75,=114,18.6,401+
=228,231,Università di Padova,Italy,Padova,Europe,66.9,https://www.topuniversities.com/universities/universita-di-padova,https://www.topuniversities.com/sites/default/files/universitdi-padova_480_medium.jpg,59.9,=303,80.1,=229,82.3,401+,66.8,=290,67.4,109
