rank_raw,rank,name,country,overall_score,teaching_score,research_env_score,research_quality_score,industry_score,international_score,url,street_address,locality,region,postal_code,country_address
115,115,Ghent University,Belgium,65.1,48.8,58.6,82.7,99.9,65.9,https://www.timeshighereducation.com/world-university-rankings/ghent-university,Sint Pietersnieuwstraat 33,Ghent,East Flanders,9000,Belgium
=116,116,McMaster University,Canada,65.0,42.2,49.3,93.1,100.0,84.6,https://www.timeshighereducation.com/world-university-rankings/mcmaster-university,1280 Main Street West,Hamilton,,L8S 4L8,Canada
=116,116,"University of Maryland, College Park",United States,65.0,50.4,58.3,89.1,69.5,48.9,https://www.timeshighereducation.com/world-university-rankings/university-maryland-college-park,College Park,College Park,Maryland,20742,United States
118,118,University of Leeds,United Kingdom,64.9,48.3,50.3,87.2,71.6,93.6,https://www.timeshighereducation.com/world-university-rankings/university-leeds,Woodhouse Lane,Leeds,West Yorkshire,LS2 9JT,United Kingdom
119,119,University of Alberta,Canada,64.6,49.1,55.4,78.1,100.0,88.4,https://www.timeshighereducation.com/world-university-rankings/university-alberta,116 Street and 85 Avenue,Edmonton,Alberta,T6G 2R3,Canada
120,120,University of Basel,Switzerland,64.5,50.2,42.8,87.5,99.8,94.2,https://www.timeshighereducation.com/world-university-rankings/university-basel,"['Petersplatz 1', 'PO Box 4001']",Basel,Swiss Canton of Basel Stadt,,Switzerland
121,121,Technical University of Denmark,Denmark,64.4,51.2,46.5,82.6,99.9,93.0,https://www.timeshighereducation.com/world-university-rankings/technical-university-denmark,Anker Engelunds Vej 101 Building 101A Kongens,Kongens Lyngby,Region Hovedstaden,2800,Denmark
=122,122,University of Göttingen,Germany,64.1,49.4,52.7,87.2,71.0,70.1,https://www.timeshighereducation.com/world-university-rankings/university-gottingen,Wilhelmsplatz 1 Aula,Gottingen,Lower Saxony,37073,Germany
=122,122,University of Warwick,United Kingdom,64.1,48.1,49.3,85.6,69.4,95.6,https://www.timeshighereducation.com/world-university-rankings/university-warwick,University Road,Coventry,Coventry,CV4 7AL,United Kingdom
=122,122,Wuhan University,China,64.1,54.0,48.4,90.1,99.7,41.6,https://www.timeshighereducation.com/world-university-rankings/wuhan-university,Luojiashan Road Wuchang District,Wuhan,Hubei,430072,China
=125,125,University of Hamburg,Germany,63.7,45.7,52.8,87.1,99.8,63.6,https://www.timeshighereducation.com/world-university-rankings/university-hamburg,Mittelweg 177,,Hamburg,20148,Germany
=125,125,University of Lausanne,Switzerland,63.7,44.3,46.1,89.0,99.4,88.4,https://www.timeshighereducation.com/world-university-rankings/university-lausanne,Unicentre Unil Centre,Lausanne,Vaud,CH 1015,Switzerland
127,127,University of Rochester,United States,63.6,51.8,44.5,86.3,92.0,78.1,https://www.timeshighereducation.com/world-university-rankings/university-rochester,500 Joseph C Wilson Boulevard,Rochester,New York,14627,United States
