rank_raw,rank,name,country,overall_score,teaching_score,research_env_score,research_quality_score,industry_score,international_score,url
101–125,101,Universidad Nacional Agraria La Molina,Peru,20.6,25.2,8.5,12.2,16.8,44.8,https://www.timeshighereducation.com/world-university-rankings/universidad-nacional-agraria-la-molina
101–125,101,Universidad Nacional Mayor de San Marcos,Peru,20.6,21.9,11.7,21.6,16.6,34.0,https://www.timeshighereducation.com/world-university-rankings/universidad-nacional-mayor-de-san-marcos
101–125,101,Universidad Panamericana (UP),Mexico,20.6,25.3,9.9,17.3,19.3,46.9,https://www.timeshighereducation.com/world-university-rankings/universidad-panamericana
101–125,101,University of Cuenca,Ecuador,20.6,16.8,12.1,18.0,35.2,46.3,https://www.timeshighereducation.com/world-university-rankings/university-cuenca
101–125,101,University of Monterrey,Mexico,20.6,24.0,13.4,14.9,18.1,49.5,https://www.timeshighereducation.com/world-university-rankings/university-monterrey
101–125,101,University of Vale do Itajaí,Brazil,20.6,20.0,16.6,16.3,40.4,32.3,https://www.timeshighereducation.com/world-university-rankings/university-vale-do-itajai
126–150,126,Anáhuac University,Mexico,18.0,26.2,10.0,11.1,16.9,33.4,https://www.timeshighereducation.com/world-university-rankings/anahuac-university
126–150,126,Bernardo O’Higgins University,Chile,18.0,16.8,12.2,14.6,22.6,48.6,https://www.timeshighereducation.com/world-university-rankings/bernardo-ohiggins-university
126–150,126,Central University of Venezuela,Venezuela,18.0,24.7,9.1,7.7,19.4,48.7,https://www.timeshighereducation.com/world-university-rankings/central-university-venezuela
126–150,126,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET-RJ),Brazil,18.0,18.1,11.3,21.9,18.6,36.3,https://www.timeshighereducation.com/world-university-rankings/centro-federal-de-educacao-tecnologica-celso-suckow-da-fonseca-cefet-rj
126–150,126,CES University,Colombia,18.0,23.7,10.8,10.6,16.9,37.9,https://www.timeshighereducation.com/world-university-rankings/ces-university
126–150,126,Ecotec University,Ecuador,18.0,16.0,9.9,20.6,19.4,54.1,https://www.timeshighereducation.com/world-university-rankings/ecotec-university
126–150,126,EIA University,Colombia,18.0,21.3,8.5,13.8,23.4,47.9,https://www.timeshighereducation.com/world-university-rankings/eia-university
126–150,126,National University of Costa Rica,Costa Rica,18.0,23.7,9.5,11.0,17.6,45.1,https://www.timeshighereducation.com/world-university-rankings/national-university-costa-rica
126–150,126,ORT Uruguay University,Uruguay,18.0,23.9,9.2,10.5,17.1,44.0,https://www.timeshighereducation.com/world-university-rankings/ort-uruguay-university
126–150,126,Pontifical Catholic University of Argentina,Argentina,18.0,24.9,8.7,9.8,16.7,46.8,https://www.timeshighereducation.com/world-university-rankings/pontifical-catholic-university-argentina
126–150,126,Pontificia Universidad Católica del Ecuador,Ecuador,18.0,17.0,10.3,18.4,16.7,53.3,https://www.timeshighereducation.com/world-university-rankings/pontificia-universidad-catolica-del-ecuador
126–150,126,Pontificia Universidad Católica Madre y Maestra (PUCMM),Dominican Republic,18.0,20.2,10.6,10.5,16.6,62.0,https://www.timeshighereducation.com/world-university-rankings/pontificia-universidad-catolica-madre-y-maestra-pucmm
126–150,126,Tecnológico de Costa Rica,Costa Rica,18.0,23.1,8.9,14.0,17.8,39.1,https://www.timeshighereducation.com/world-university-rankings/tecnologico-de-costa-rica
126–150,126,Universidade Estadual de Feira de Santana (UEFS),Brazil,18.0,23.4,11.2,15.7,17.9,28.3,https://www.timeshighereducation.com/world-university-rankings/universidade-estadual-de-feira-de-santana-uefs
126–150,126,Universidade Federal do Maranhão (UFMA),Brazil,18.0,18.6,12.9,19.4,24.6,24.2,https://www.timeshighereducation.com/world-university-rankings/universidade-federal-do-maranhao-ufma
126–150,126,Universidad Nacional de Asunción,Paraguay,18.0,23.1,9.9,7.7,20.4,47.2,https://www.timeshighereducation.com/world-university-rankings/universidad-nacional-de-asuncion
126–150,126,Universidad San Ignacio de Loyola,Peru,18.0,15.3,12.0,24.2,16.7,40.9,https://www.timeshighereducation.com/world-university-rankings/universidad-san-ignacio-de-loyola
126–150,126,Universidad Santo Tomás,Chile,18.0,16.2,12.1,19.0,16.6,45.6,https://www.timeshighereducation.com/world-university-rankings/universidad-santo-tomas
126–150,126,University of Bío-Bío,Chile,18.0,19.1,7.0,23.7,18.7,46.8,https://www.timeshighereducation.com/world-university-rankings/university-bio-bio
126–150,126,University of Guadalajara,Mexico,18.0,20.4,10.0,20.6,19.6,29.7,https://www.timeshighereducation.com/world-university-rankings/university-guadalajara
126–150,126,University of Guanajuato,Mexico,18.0,20.4,10.4,18.8,22.2,33.1,https://www.timeshighereducation.com/world-university-rankings/university-guanajuato
151+,151,Autonomous University of Baja California,Mexico,17.2,17.2,9.9,18.5,18.2,32.3,https://www.timeshighereducation.com/world-university-rankings/autonomous-university-baja-california
151+,151,Autonomous University of Chiapas,Mexico,17.2,18.2,8.8,11.2,16.1,35.2,https://www.timeshighereducation.com/world-university-rankings/autonomous-university-chiapas
151+,151,Autonomous University of Guerrero (UAGro),Mexico,17.2,18.6,8.3,10.3,17.7,29.7,https://www.timeshighereducation.com/world-university-rankings/autonomous-university-guerrero-uagro
151+,151,Autonomous University of Sinaloa,Mexico,17.2,19.6,8.3,12.0,16.9,39.1,https://www.timeshighereducation.com/world-university-rankings/autonomous-university-sinaloa
151+,151,Catholic University of Córdoba,Argentina,17.2,21.9,9.5,7.9,17.1,40.8,https://www.timeshighereducation.com/world-university-rankings/catholic-university-cordoba
151+,151,CETYS Universidad,Mexico,17.2,25.2,7.7,4.5,19.4,51.2,https://www.timeshighereducation.com/world-university-rankings/cetys-universidad
151+,151,Cruzeiro do Sul University,Brazil,17.2,13.9,9.6,9.8,16.8,41.9,https://www.timeshighereducation.com/world-university-rankings/cruzeiro-do-sul-university
151+,151,EAN University,Colombia,17.2,14.7,8.5,5.8,18.7,40.3,https://www.timeshighereducation.com/world-university-rankings/ean-university
151+,151,Escuela Superior Politécnica de Chimborazo,Ecuador,17.2,17.6,8.1,7.3,16.3,47.9,https://www.timeshighereducation.com/world-university-rankings/escuela-superior-politecnica-de-chimborazo
151+,151,"Federal Institute of Education, Science and Technology of São Paulo",Brazil,17.2,15.1,7.2,6.0,17.5,23.3,https://www.timeshighereducation.com/world-university-rankings/federal-institute-education-science-and-technology-sao-paulo
151+,151,Instituto Tecnológico de Buenos Aires (ITBA),Argentina,17.2,23.8,7.5,4.7,17.9,53.7,https://www.timeshighereducation.com/world-university-rankings/instituto-tecnologico-de-buenos-aires-itba
151+,151,Instituto Tecnológico Metropolitano,Colombia,17.2,15.5,8.2,10.7,18.7,30.9,https://www.timeshighereducation.com/world-university-rankings/instituto-tecnologico-metropolitano
151+,151,La Salle University (Colombia),Colombia,17.2,18.2,9.5,7.7,16.2,29.4,https://www.timeshighereducation.com/world-university-rankings/la-salle-university-colombia
151+,151,National University of Quilmes,Argentina,17.2,16.0,10.0,11.8,22.3,32.9,https://www.timeshighereducation.com/world-university-rankings/national-university-quilmes
151+,151,National University of Rosario (UNR),Argentina,17.2,17.1,9.3,9.6,21.1,41.2,https://www.timeshighereducation.com/world-university-rankings/national-university-rosario-unr
151+,151,Nueva Granada Military University,Colombia,17.2,23.0,9.0,10.5,17.3,28.1,https://www.timeshighereducation.com/world-university-rankings/nueva-granada-military-university
151+,151,Pontifical Catholic University of Minas Gerais,Brazil,17.2,19.4,11.7,17.7,19.5,25.5,https://www.timeshighereducation.com/world-university-rankings/pontifical-catholic-university-minas-gerais
151+,151,Positivo University,Brazil,17.2,24.1,9.3,6.4,16.5,32.1,https://www.timeshighereducation.com/world-university-rankings/positivo-university
